Country Name;Country Code;Year;Year Code;Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS];Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD];Domestic general government health expenditure (% of current health expenditure) [SH.XPD.GHED.CH.ZS];Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS];Domestic general government health expenditure per capita (current US$) [SH.XPD.GHED.PC.CD];Domestic private health expenditure per capita (current US$) [SH.XPD.PVTD.PC.CD];Domestic private health expenditure (% of current health expenditure) [SH.XPD.PVTD.CH.ZS];External health expenditure per capita (current US$) [SH.XPD.EHEX.PC.CD];Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS];Out-of-pocket expenditure per capita (current US$) [SH.XPD.OOPC.PC.CD];Physicians (per 1,000 people) [SH.MED.PHYS.ZS];Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS];Nurses and midwives (per 1,000 people) [SH.MED.NUMW.P3];Life expectancy at birth, total (years) [SP.DYN.LE00.IN];Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN];Maternal mortality ratio (modeled estimate, per 100,000 live births) [SH.STA.MMRT];Mortality rate, under-5 (per 1,000) [SH.DYN.MORT]
Afghanistan;AFG;2020;YR2020;15.53361416;80.0892334;7.63642311;1.18621242;6.11595245;61.05325142;76.23153687;12.9200274;74.81396484;59.91792599;0.254;0.34;..;61.454;55.3;634;61.3
Albania;ALB;2020;YR2020;7.50389433;396.17477417;39.84601212;2.99000263;157.8598434;235.63640505;59.47789001;2.67851936;59.39613342;235.31249191;1.883;2.91;5.831;77.824;8.1;7;9.4
Algeria;DZA;2020;YR2020;5.63831711;211.07276917;58.73843765;3.31185937;123.98084324;87.00733874;41.22148895;0.08457764;39.64334869;83.67631674;..;..;..;73.257;20.4;97;22.9
American Samoa;ASM;2020;YR2020;..;..;..;..;..;..;..;..;..;..;..;..;..;72.672;..;..;..
Andorra;AND;2020;YR2020;8.78673935;3282.81738281;72.60459137;6.37670708;2382.4043855;900.4129451;27.44039154;..;11.15107918;366.06957101;..;..;..;79.418;2.7;48;2.9
Angola;AGO;2020;YR2020;3.27488494;55.93916321;51.92151642;1.70036995;29.04446365;23.85419986;42.64310837;3.04050006;28.66170883;16.03312106;..;..;..;63.116;42.3;195;71.6
Antigua and Barbuda;ATG;2020;YR2020;5.72944784;883.50018311;62.28354263;3.56850314;550.27520503;332.02606956;37.58075714;1.19889816;21.96622849;194.07167848;..;3.29;..;77.161;7.8;35;10.1
Argentina;ARG;2020;YR2020;10.45030594;891.99621582;63.98451233;6.68657732;570.7394389;318.76635272;35.73628998;2.4904558;21.75679016;194.06975669;3.895;3.2;5.447;75.878;8.7;40;10.3
Armenia;ARM;2020;YR2020;12.24056244;535.2723999;19.2535038;2.35673714;103.05868926;426.30760083;79.64311218;5.90612748;77.84781647;416.69788517;..;4.59;..;73.3756097560976;10.2;43;11.6
Aruba;ABW;2020;YR2020;..;..;..;..;..;..;..;..;..;..;..;..;..;75.406;..;..;..
